state,year,total_revenue,prop_tax,gen_sales_tax,select_sales_tax,income_tax,net_corp_income_tax,gift_death_tax,unemployment_tax
Hawaii,2014,"$12,357 ",$970 ,"$2,122 ",$876 ,"$1,217 ",$88 ,$10 ,$39 
Idaho,2014,"$8,610 ",$914 ,$838 ,$296 ,$816 ,$116 ,$0 ,$68 
Illinois,2014,"$11,575 ","$1,995 ",$984 ,$768 ,"$1,283 ",$342 ,$23 ,$129 
Indiana,2014,"$8,636 ",$898 ,"$1,060 ",$575 ,$929 ,$131 ,$13 ,$77 
Iowa,2014,"$12,175 ","$1,518 ","$1,045 ",$436 ,"$1,061 ",$125 ,$29 ,$116 
Kansas,2014,"$10,180 ","$1,430 ","$1,352 ",$400 ,$863 ,$113 ,$0 ,$75 
Kentucky,2014,"$9,275 ",$735 ,$707 ,$650 ,"$1,126 ",$185 ,$10 ,$89 
Louisiana,2014,"$10,742 ",$841 ,"$1,496 ",$540 ,$592 ,$104 ,$0 ,$35 
Maine,2014,"$10,547 ","$1,914 ",$892 ,$543 ,"$1,058 ",$137 ,$18 ,$71 
Maryland,2014,"$11,181 ","$1,476 ",$698 ,$775 ,"$2,084 ",$164 ,$36 ,$69 
Massachusetts,2014,"$12,900 ","$2,160 ",$809 ,$406 ,"$1,942 ",$322 ,$59 ,$224 
Michigan,2014,"$10,011 ","$1,324 ",$874 ,$417 ,$836 ,$88 ,$0 ,$145 
Minnesota,2014,"$12,330 ","$1,402 ","$1,014 ",$823 ,"$1,758 ",$242 ,$33 ,$145 
Mississippi,2014,"$10,420 ",$916 ,"$1,106 ",$505 ,$558 ,$176 ,$0 ,$35 
Missouri,2014,"$9,605 ",$954 ,$918 ,$372 ,$945 ,$71 ,$0 ,$96 
Montana,2014,"$10,496 ","$1,465 ",$0 ,$544 ,"$1,037 ",$146 ,$0 ,$74 
Nebraska,2014,"$12,643 ","$1,749 ","$1,116 ",$344 ,"$1,124 ",$162 ,$27 ,$54 
Nevada,2014,"$9,561 ",$962 ,"$1,575 ",$936 ,$0 ,$0 ,$0 ,$118 
New Hampshire,2014,"$9,511 ","$2,837 ",$0 ,$658 ,$69 ,$405 ,$0 ,$54 
New Jersey,2014,"$12,262 ","$3,010 ",$984 ,$447 ,"$1,325 ",$262 ,$76 ,$210 
